problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
PRIMALC1,0.000201501,0.27481906,0.275020561,maximum iterations reached,819.284009270529,0.01630313303223252,-1782330.1803715576,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMALC2,0.000183631,0.237348735,0.237532366,maximum iterations reached,9195.796181944199,0.006706935523064672,-774276.8629822076,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMALC5,0.000234522,0.327606199,0.327840721,maximum iterations reached,285.9790497183433,3.105341410925e-05,-125547.83246636817,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMALC8,0.000398463,0.568992731,0.569391194,maximum iterations reached,11486.303614882387,0.008507623576053058,-5726186.903559612,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Q25FV47,0.011468488,9.41150919,9.422977678,maximum iterations reached,0.011132130408604602,0.14408365428755399,-245.68919367739,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QADLITTL,0.000162531,0.008940401,0.009102932000000001,solved,4.9785925364088644e-05,0.002542712532129078,0.2454649528203845,46,2300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QAFIRO,0.000112191,0.000260422,0.000372613,solved,5.12626852522402e-07,1.9060902478350155e-07,2.0818152185464456e-06,4,200,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QBANDM,0.000706984,0.454296532,0.455003516,solved,0.000821869789198544,0.00014599592599838957,-0.016878990700206487,399,19975,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QBEACONF,0.000639554,0.060349191,0.060988745000000004,solved,0.002453101428522192,0.0005313730336986503,0.07528050275777787,69,3450,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QBORE3D,0.000445033,0.364167398,0.36461243099999996,maximum iterations reached,0.5329362080543221,0.061893119805697276,4005.777937528692,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
