problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
DTOC3,0.009765022,0.208987021,0.218752043,solved,3.1691644863940382e-09,0.00018924342169108273,5.680881112746228e-13,5.645323483916392e-07,-0.00021497689698435352,0.4559185905313387,0.00011377491149635958,7,350,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUAL1,0.000357072,0.000842716,0.001199788,solved,4.2172907670453484e-09,0.0012474421083259685,1.1735761827320929e-07,0.10780362336564185,6.908460047777565e-08,0.06661664773476576,9.72914169392191e-06,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUAL2,0.000339692,0.001049016,0.001388708,solved,1.7181937387498017e-09,0.0008590972370550458,8.551818046359723e-08,0.07975798710643339,7.743254176045822e-08,0.07474206100340487,1.4738962183905701e-05,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUAL3,0.000466643,0.001400309,0.0018669519999999998,solved,6.146292660025998e-09,0.003073146327327843,2.2753850918425693e-07,0.1863409485932421,2.1341679032338412e-07,0.18625226975807765,4.324637781918737e-05,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUAL4,0.000213991,0.000659804,0.0008737949999999999,solved,6.173375399307636e-08,0.0251814673216176,2.766849389944605e-07,0.1258401995915205,2.111747851030188e-07,0.11484876715977818,1.2438337312986206e-05,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUALC1,0.000131941,0.00481884,0.004950781,solved,1.2376726850070172e-08,6.105933326370496e-06,0.2467839169517826,0.07323918960481125,0.004323018453931082,0.4184561568789251,5.504395935821909e-05,14,700,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUALC2,0.00010725,0.001757882,0.001865132,solved,1.6144107354559918e-08,4.659617612078597e-06,0.0074792132947999026,0.02835013212192986,-0.001431395862414625,0.3028247325127486,6.182005872280856e-05,5,275,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUALC5,0.000159651,0.000611544,0.000771195,solved,3.542607445958433e-08,4.331824910628921e-05,3.1717560038309495e-06,0.0017818343204249647,-1.6643495489686244e-05,0.0360979203063562,0.0001451886207502659,1,75,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DUALC8,0.000233002,0.001097047,0.001330049,solved,3.0321538203843975e-08,1.5119273956817295e-05,0.010200111492801164,0.0734677640265086,0.006519697276938866,0.19630318046269157,0.0001393933985266024,1,75,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
EXDATA,0.356328863,6.614515703,6.970844566,solved,1.2244061714739018e-05,0.4925857614557952,2.648344611141593e-06,0.535763760110258,-9.55822998344642e-05,0.39116275811474854,0.025610383924609834,23,1150,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
GENHS28,0.000128421,3.4341e-05,0.000162762,solved,1.3897433450027083e-09,0.0006948716042177621,3.5902620876271385e-09,0.001457928168657956,6.971083266194e-09,0.0024422686899443716,1.1510742466243633e-08,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
