problem name,setup time,solve time,run time,status,objective,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
bnatt400_MIPLIB,0.005253066,0.037883349,0.043136415,solved,-7.978410174154352e-07,7.978410174154352e-07,0.21718444640990048,2.1718444640990047e-07,1.0537167394880642e-07,0.05268583697440321,5.268583697440321e-08,-7.978410174154352e-07,0.797840381176047,7.97840380865654e-07,0.8184955326475621,3,175,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
bnatt500_MIPLIB,0.008400237,0.091485053,0.09988529,solved,6.178133906980272e-07,6.178133906980272e-07,0.040417283300695335,1.9816664875531913e-07,3.959357131044783e-07,0.19796781736097466,1.9796781736097467e-07,6.178133906980272e-07,0.6178130086485821,6.178130090048772e-07,2.4371100456482098,6,325,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
bppc4-08_MIPLIB,0.009241393,0.006142512,0.015383905,solved,51.59000001640534,7.187107856094877e-08,0.00020871402041562853,1.3666301300347735e-09,1.8761114883858454e-09,0.0009380557433129741,9.38055743312974e-10,-7.947856062173742e-08,0.0015112869707760291,1.5112865654464606e-09,0.03689662500905518,1,75,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
cbs-cta_MIPLIB,0.028881997,3.96480437,3.993686367,solved,2.7998556526975634e-08,1.921605297118757e-08,1.870790041712216e-05,1.8707900417122153e-11,2.7820282460591902e-06,1.1566434589398692e-05,1.1566434589438103e-11,-1.4877953563767768e-07,48.0118574781432,1.4877950933671987e-07,2384.127565360993,99,4950,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
chromaticindex1024-7_MIPLIB,0.153739998,0.414377686,0.568117684,solved,2.9999999999999423,2.0317081350640365e-14,1.0158540675320164e-08,1.0158540675320165e-14,6.819478315378547e-11,3.4097391575730095e-05,3.40973915757301e-11,-3.0546587481694587e-10,7.636502540847395e-05,7.636646869840574e-11,82.66046132686128,1,75,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
chromaticindex512-7_MIPLIB,0.084485527,0.179195682,0.263681209,solved,3.000000000000064,2.2426505097428162e-14,2.6645352591003687e-09,1.1213252548714051e-14,1.5542012121727566e-12,7.77100606086361e-07,7.771006060863609e-13,1.928412984852912e-10,4.821110177743927e-05,4.821032462132203e-11,24.78711702471062,1,75,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
cmflsp50-24-8-8_MIPLIB,0.036343777,115.89461042,115.930954197,solved,54633066.49325084,0.0006432086223323598,0.3732639174898388,3.732639172735549e-07,9.246506149615907,0.8342639477539169,8.342639477300359e-07,-29.879759026026974,0.5469168046513959,5.469168043323923e-07,51.93748695596599,2846,142300,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
cod105_MIPLIB,0.125954543,0.040929788,0.166884331,solved,-18.285714283716345,1.1063827631829781e-10,0.0,5.5319138159148906e-11,6.736167179610675e-12,3.368083589793994e-06,3.368083589793994e-12,2.120025044405338e-09,0.0001099261192353253,1.0992722452402537e-10,0.0010370819673463471,1,50,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
comp07-2idx_MIPLIB,0.165730153,7.788497961,7.954228114,solved,-2.6639206976236763e-06,4.1860019418313234e-10,1.760823733912955e-05,2.1766333214739534e-11,8.40909675225987e-09,0.000137854026918577,1.3785404511895444e-10,-9.402810133091279e-07,0.9402775989894755,9.402785084817476e-07,2678.516281575726,82,4125,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
comp21-2idx_MIPLIB,0.1402812,2.9161555789999998,3.0564367789999998,solved,-1.3434445288561287e-06,3.5004326085778692e-09,0.00023862084835417577,2.3862084835417576e-10,1.7617165314065542e-07,0.0016464640491974784,1.6464640480301878e-09,2.976705034575495e-07,0.2976715514924945,2.9767001494681326e-07,1152.2874505542018,54,2725,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
cryptanalysiskb128n5obj14_MIPLIB,0.307431864,12.579980565,12.887412429,solved,0.0,7.51126784326317e-06,0.5007511895508578,5.007511895508578e-07,1.7117397815494379e-09,0.0017117397786193848,1.7117397786193847e-09,3.851763352713533e-11,3.828226624444927e-05,3.8517633525651724e-11,635.0137048045882,49,2475,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
cryptanalysiskb128n5obj16_MIPLIB,0.322573766,14.74156059,15.064134356,solved,0.0,7.463950784547535e-06,0.43905592850277814,4.390559285027782e-07,1.3125322853057826e-09,0.0013125322835830417,1.3125322835830416e-09,2.62501131942372e-11,2.6001423236045095e-05,2.6250113193548134e-11,675.2519584752532,52,2625,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
csched008_MIPLIB,0.00293953,0.183711115,0.186650645,solved,170.99972464705553,0.00015488823945020158,0.9005144616831986,9.005144616831984e-07,1.2068446866297933e-06,0.6034223433148966,6.034223433148966e-07,-0.00011330038145729304,0.6587237684694555,6.587237686346981e-07,5.563211901761844,44,2225,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
cvs16r128-89_MIPLIB,0.007827383,6.040077454,6.047904837000001,solved,-128.0000547352381,1.0288362961574649e-07,0.011431510056561702,1.14315100565617e-08,1.3893413324250758e-06,0.6946701836455387,6.946701836455386e-07,0.00012233767506586446,0.9483527678528064,9.483527685137753e-07,50.420579183462394,480,24000,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
decomp2_MIPLIB,0.019713133,7.146973034,7.166686167,solved,-160.00011131732558,3.1187292956480483e-07,0.0010028068711213675,1.002806871352897e-09,3.0376777537810535e-07,0.0276152512215244,2.7615251544498352e-08,-0.00011372233618529809,0.7063494238467802,7.063494258159571e-07,313.27251274087763,196,9825,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
dws008-01_MIPLIB,0.012153022,0.28787818,0.300031202,solved,584.4999999996543,3.505838597206434e-08,0.0005654578380118361,5.654578380118363e-10,3.1621170528594434e-05,0.011091255894059857,1.1091255885151986e-08,-0.00022360122154955336,0.38189837317767517,3.818977560322471e-07,44.415360333837505,10,525,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
eil33-2_MIPLIB,0.007089378,11.645224222,11.6523136,solved,811.2786479394418,1.5939885066827036e-06,0.7969942475722973,7.969942475722972e-07,0.00040559411515321087,0.9791011524831168,9.791011523864556e-07,-0.0005194793421449973,0.6395330114460088,6.39533011533178e-07,45.204901334155714,1009,50450,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
enlight_hard_MIPLIB,0.000257452,0.001332739,0.0015901910000000001,solved,3.881577668501672e-07,2.3551507169888815e-07,0.0743302463306846,1.1775753583883525e-07,2.5922684959867067e-09,0.0012961342479933379,1.2961342479933379e-09,3.969399336272532e-07,0.3969397795519947,3.969397795519948e-07,0.027001854514593433,3,175,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
ex9_MIPLIB,53.445892089,31.458166675,84.904058764,solved,80.99999999914863,1.6049238461899734e-06,0.7955251682079483,8.024619229527749e-07,1.856516974263478e-06,0.9282576749666076,9.282576749666077e-07,-3.508105237415293e-07,0.00427817935348113,4.2781771005407574e-09,28.1079859564392,12,625,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
