iteration,prob_name,prim_res,dual_res,duality_gap,restart
124,AUG2DCQP,4.706e+00,3.842e+00,-5.216e+05,0
125,AUG2DCQP,4.674e+00,4.002e+00,-5.189e+05,0
126,AUG2DCQP,4.670e+00,4.371e+00,-5.163e+05,0
127,AUG2DCQP,4.644e+00,4.471e+00,-5.139e+05,0
128,AUG2DCQP,4.640e+00,4.758e+00,-5.116e+05,0
129,AUG2DCQP,4.610e+00,4.812e+00,-5.094e+05,0
130,AUG2DCQP,4.611e+00,5.013e+00,-5.072e+05,0
131,AUG2DCQP,4.586e+00,5.026e+00,-5.052e+05,0
132,AUG2DCQP,4.583e+00,5.173e+00,-5.032e+05,0
133,AUG2DCQP,4.552e+00,5.167e+00,-5.011e+05,0
134,AUG2DCQP,4.555e+00,5.280e+00,-4.991e+05,0
135,AUG2DCQP,4.526e+00,5.255e+00,-4.971e+05,0
136,AUG2DCQP,4.526e+00,5.335e+00,-4.951e+05,0
137,AUG2DCQP,4.498e+00,5.294e+00,-4.930e+05,0
138,AUG2DCQP,4.484e+00,5.345e+00,-4.909e+05,0
139,AUG2DCQP,4.448e+00,5.301e+00,-4.888e+05,0
140,AUG2DCQP,4.424e+00,5.296e+00,-4.867e+05,0
141,AUG2DCQP,4.387e+00,5.279e+00,-4.845e+05,0
142,AUG2DCQP,4.366e+00,5.431e+00,-4.825e+05,0
143,AUG2DCQP,4.352e+00,5.467e+00,-4.805e+05,0
144,AUG2DCQP,4.327e+00,5.612e+00,-4.788e+05,0
145,AUG2DCQP,4.328e+00,5.638e+00,-4.772e+05,0
146,AUG2DCQP,4.301e+00,5.759e+00,-4.757e+05,0
147,AUG2DCQP,4.305e+00,5.766e+00,-4.743e+05,0
148,AUG2DCQP,4.276e+00,5.860e+00,-4.731e+05,0
149,AUG2DCQP,4.272e+00,5.815e+00,-4.719e+05,0
150,AUG2DCQP,4.254e+00,6.061e+00,-4.708e+05,0
151,AUG2DCQP,4.251e+00,6.579e+00,-4.697e+05,0
152,AUG2DCQP,4.234e+00,6.959e+00,-4.687e+05,0
153,AUG2DCQP,4.234e+00,7.409e+00,-4.678e+05,0
154,AUG2DCQP,4.217e+00,7.737e+00,-4.669e+05,0
155,AUG2DCQP,4.218e+00,8.128e+00,-4.660e+05,0
156,AUG2DCQP,4.194e+00,8.412e+00,-4.652e+05,0
157,AUG2DCQP,4.202e+00,8.732e+00,-4.642e+05,0
158,AUG2DCQP,4.179e+00,8.965e+00,-4.634e+05,0
159,AUG2DCQP,4.187e+00,9.235e+00,-4.625e+05,0
160,AUG2DCQP,4.163e+00,9.429e+00,-4.616e+05,0
161,AUG2DCQP,4.167e+00,9.654e+00,-4.607e+05,0
162,AUG2DCQP,4.146e+00,9.812e+00,-4.597e+05,0
163,AUG2DCQP,4.146e+00,1.000e+01,-4.586e+05,0
164,AUG2DCQP,4.125e+00,1.013e+01,-4.576e+05,0
165,AUG2DCQP,4.126e+00,1.029e+01,-4.564e+05,0
166,AUG2DCQP,4.110e+00,1.039e+01,-4.553e+05,0
167,AUG2DCQP,4.091e+00,1.052e+01,-4.540e+05,0
168,AUG2DCQP,4.079e+00,1.058e+01,-4.527e+05,0
169,AUG2DCQP,4.056e+00,1.067e+01,-4.513e+05,0
170,AUG2DCQP,4.051e+00,1.073e+01,-4.499e+05,0
171,AUG2DCQP,4.012e+00,1.072e+01,-4.485e+05,0
172,AUG2DCQP,3.998e+00,1.062e+01,-4.470e+05,0
173,AUG2DCQP,3.979e+00,1.059e+01,-4.456e+05,0
174,AUG2DCQP,3.967e+00,1.049e+01,-4.443e+05,0
175,AUG2DCQP,3.955e+00,1.043e+01,-4.431e+05,0
176,AUG2DCQP,3.946e+00,1.030e+01,-4.421e+05,0
177,AUG2DCQP,3.935e+00,1.022e+01,-4.410e+05,0
178,AUG2DCQP,3.924e+00,7.473e-01,-4.394e+05,1
179,AUG2DCQP,3.870e+00,2.805e-01,-4.368e+05,0
180,AUG2DCQP,3.840e+00,3.127e-01,-4.329e+05,0
181,AUG2DCQP,3.816e+00,1.099e+00,-4.292e+05,0
182,AUG2DCQP,3.788e+00,8.038e-01,-4.261e+05,0
183,AUG2DCQP,3.776e+00,1.135e+00,-4.233e+05,0
184,AUG2DCQP,3.750e+00,8.365e-01,-4.207e+05,0
185,AUG2DCQP,3.738e+00,1.036e+00,-4.183e+05,0
186,AUG2DCQP,3.720e+00,7.708e-01,-4.161e+05,0
187,AUG2DCQP,3.709e+00,9.191e-01,-4.141e+05,0
188,AUG2DCQP,3.696e+00,6.892e-01,-4.121e+05,0
189,AUG2DCQP,3.689e+00,8.118e-01,-4.103e+05,0
190,AUG2DCQP,3.680e+00,8.130e-01,-4.087e+05,0
191,AUG2DCQP,3.672e+00,8.156e-01,-4.071e+05,0
192,AUG2DCQP,3.656e+00,8.967e-01,-4.055e+05,0
193,AUG2DCQP,3.655e+00,9.970e-01,-4.041e+05,0
194,AUG2DCQP,3.640e+00,1.065e+00,-4.027e+05,0
