problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI
HUESTIS,0.004203876,4.422934736,4.427138612,solved,0.00045861539229008486,0.04814415257927794,7.415374318367e-05,0.0038924299758352383,-695999.6610107423,0.9992980198797115,5.9895052079096365,296,14825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KSIP,0.001297938,0.602849275,0.604147213,solved,1.2540294000995544e-06,0.674719852673287,1.8687368168457397e-06,0.8573700993833523,1.204020365186409e-06,0.727528761342115,0.002264631698474413,195,9750,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LASER,0.000790844,0.005757546,0.006548389999999999,solved,2.2744578941745002e-05,0.06395640564522448,3.498894667676819e-06,0.004451520625889037,-0.5231518447399139,0.10855567552097513,0.0004508033211383287,2,125,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET1,0.006334859,12.452640497,12.458975356000002,solved inaccurate,1.1498820796349276e-05,5.755681228344562,7.627935165700486e-07,0.363390746783511,-0.0010193333909788247,0.20379272292892225,0.05431689709475552,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET10,0.008919855,12.267708908,12.276628763,solved inaccurate,3.5503712844007384e-06,1.6921975320328853,3.3641469021882344e-07,0.16019976009295483,-0.0002623106551867295,0.05243175757663755,0.019513058029574277,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET11,0.007880709,12.314075864,12.321956573,solved inaccurate,3.7824565619274325e-06,1.802815300060966,3.523666183806031e-07,0.1678000202495035,-0.0004217749367105625,0.08431281158009044,0.020700007324376712,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET12,0.006362719,12.299632925,12.305995644,solved inaccurate,4.768875207438049e-06,2.2729676098745113,4.084211931044156e-07,0.19448720859193205,-0.0015737495912345365,0.31459255039947015,0.02487103352092457,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET2,0.00645611,12.300333784,12.306789894,solved inaccurate,3.7739390493071452e-06,1.891112270589205,3.0678927061025967e-07,0.146166692375316,-0.0002337812586535785,0.07009964407335965,0.022128768566246286,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET3,0.008818345,12.308142553,12.316960898,solved inaccurate,3.7555636198056308e-06,1.883425119910515,3.061776947536218e-07,0.14590311877687565,-0.00023210665483485124,0.11596527866227087,0.022592649308433774,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET4,0.007720558,12.310440738,12.318161296000001,solved inaccurate,3.7515462069399187e-06,1.881423518734249,3.070330436854684e-07,0.14633861288015176,-0.00023131509084267166,0.16175510558355854,0.023039055488901675,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET5,0.006644171,8.447957863,8.454602033999999,solved,3.7113744929982503e-06,0.9997482067109552,6.770776279145922e-07,0.17740846381757003,-0.000231205706117762,0.007235726123175041,0.0060956266558165,344,17225,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET6,0.008714324,12.298911896,12.30762622,solved inaccurate,3.494647385577469e-06,1.6656380990187687,3.307828818595368e-07,0.15764778186558506,-0.0002259600122211168,0.05223966510084216,0.019818832137802424,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET7,0.007766838,12.311543994,12.319310832000001,solved inaccurate,3.8389923376914724e-06,1.919496268191331,3.032593119957161e-07,0.14440988385449274,-0.0003084741998731836,0.061676145462230436,0.022575530489290146,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET8,0.00644651,12.303918337,12.310364847,solved inaccurate,3.837473039362611e-06,1.9187366623009878,3.0306938926697264e-07,0.14431944402843624,-0.0004115680274813832,0.08228866230626718,0.022706614393056972,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET9,0.006715411,12.249295219,12.25601063,solved inaccurate,3.8990292398627904e-06,1.9494575416660376,3.0707851841166145e-07,0.14624040079205813,-0.001425131579418932,0.2849399581796014,0.023492804751829313,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LOTSCHD,0.000140151,0.000104571,0.000244722,solved,2.3425836295224057e-05,0.18431027769466554,4.733552118245265e-06,0.06531417888771406,-0.0014945231705496553,0.3114998079855903,2.3944508778489016e-06,3,175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MOSARQP1,0.001976092,0.098048975,0.100025067,solved,2.8524315108802156e-06,0.9697477381403296,1.8888342220335953e-06,0.5079860102661118,-1.3523774053500044e-06,0.0007343807123602941,0.00022604904991568834,11,575,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MOSARQP2,0.001195168,0.012094224,0.013289392,solved,1.5547282163935027e-06,0.4143946220281498,1.0705992543272764e-06,0.050774193362178546,-2.571688023772407e-06,0.000851712341024521,5.8284416834809385e-05,4,225,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
POWELL20,0.006183108,12.397473135,12.403656243,maximum iterations reached,0.29283931137069885,29.281609576318804,1.0745896421926773,143.2822346180293,-2547670605.393814,25575.94662478569,176.28687339967522,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL1,0.001354918,0.002050403,0.003405321,solved,7.483445252365328e-09,0.005570863167984402,2.825735222723117e-07,0.1412867446957911,5.166680659696166e-09,0.0049821077545953475,3.9415443001049643e-07,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
