problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
LISWET8,0.006462952,12.141091996,12.147554948,solved inaccurate,3.837473039362611e-06,3.0306938926697264e-07,-0.0004115680274813832,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET9,0.006449341,12.141720481,12.148169822,solved inaccurate,3.8990292398627904e-06,3.0707851841166145e-07,-0.001425131579418932,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LOTSCHD,2.809e-05,0.000102441,0.000130531,solved,2.3425836295224057e-05,4.733552118245265e-06,-0.0014945231705496553,3,175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MOSARQP1,0.001692621,0.049246675,0.050939295999999995,solved,2.8524315108802156e-06,1.8888342220335953e-06,-1.3523774053500044e-06,11,575,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MOSARQP2,0.001191518,0.011832706,0.013024224000000001,solved,1.5547282163935027e-06,1.0705992543272764e-06,-2.571688023772407e-06,4,225,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
POWELL20,0.00617479,11.955331438,11.961506228,maximum iterations reached,0.29283931137069885,1.0745896421926773,-2547670605.393814,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL1,0.001360329,0.001999983,0.003360312,solved,7.483445252365328e-09,2.825735222723117e-07,5.166680659696166e-09,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL2,0.002216084,0.001846742,0.004062826,solved,2.454347836078341e-11,8.858220146984452e-13,8.925631067580042e-12,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL3,0.008016921,0.005291504,0.013308424999999999,solved,2.6778038980657115e-08,2.2411393630402537e-07,-1.91902599921967e-08,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL4,0.007476508,0.008294664,0.015771172,solved,2.292749667898164e-08,6.081792900333727e-07,-2.2729215576333672e-07,2,125,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
