problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
DUAL3,0.000475653,0.001396419,0.001872072,solved,6.146292660025998e-09,0.003073146327327843,2.2753850918425693e-07,0.1863409485932421,2.1341679032338412e-07,0.18625226975807765,8.795278599844504e-05,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUAL4,0.000210191,0.000653334,0.000863525,solved,6.173375399307636e-08,0.0251814673216176,2.766849389944605e-07,0.1258401995915205,2.111747851030188e-07,0.11484876715977818,2.6675761740710444e-05,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUALC1,0.00012497,0.004806112,0.004931082000000001,solved,1.2376726850070172e-08,6.105933326370496e-06,0.2467839169517826,0.07323918960481125,0.004323018453931082,0.4184561568789251,0.0009112257345863013,14,700,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUALC2,0.000130811,0.001666041,0.001796852,solved,1.6144107354559918e-08,4.659617612078597e-06,0.0074792132947999026,0.02835013212192986,-0.001431395862414625,0.3028247325127486,0.00033668671817317663,5,275,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUALC5,0.000160081,0.000635184,0.000795265,solved,3.542607445958433e-08,4.331824910628921e-05,3.1717560038309495e-06,0.0017818343204249647,-1.6643495489686244e-05,0.0360979203063562,0.000507660473165344,1,75,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUALC8,0.000239392,0.001094847,0.0013342389999999999,solved,3.0321538203843975e-08,1.5119273956817295e-05,0.010200111492801164,0.0734677640265086,0.006519697276938866,0.19630318046269157,0.000643602369165296,1,75,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
EXDATA,0.356673834,6.60684711,6.963520944000001,solved,1.2244061714739018e-05,0.4925857614557952,2.648344611141593e-06,0.535763760110258,-9.55822998344642e-05,0.39116275811474854,0.29579008771403176,23,1150,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
GENHS28,7.738e-05,3.342e-05,0.0001108,solved,1.3897433450027083e-09,0.0006948716042177621,3.5902620876271385e-09,0.001457928168657956,6.971083266194e-09,0.0024422686899443716,2.4351428951718363e-08,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
GOULDQP2,0.000397852,0.057509843,0.057907694999999995,solved,3.362634615200477e-05,0.9825800928325433,3.697312164659926e-10,0.00036969371308401554,-3.3617897852826484e-07,0.3360550153716021,7.845586591400442e-06,43,2175,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
GOULDQP3,0.000470883,0.001330868,0.001801751,solved,4.022339350484572e-09,9.993128810998864e-05,1.631459897021014e-08,0.00047672166095577166,9.870644577492093e-07,1.661019647639594e-05,4.017914119995062e-08,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS118,7.612e-05,0.000499504,0.0005756240000000001,solved,1.8258021423633863e-06,0.018077248990159996,5.113051284588721e-08,0.015486586115032267,-1.5084033293533137e-06,0.0022582888142510258,1.73612738115785e-06,13,675,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS21,1.882e-05,1.9201e-05,3.8021e-05,solved,7.621471044541431e-07,0.036292732444186876,1.874919494353522e-08,0.01802807232826909,7.012517330706736e-09,0.0064930719562249556,2.0746875725907946e-07,1,75,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS268,2.59e-05,9.857e-05,0.00012447,solved,2.9937461788616806e-14,0.0,0.005304829026330345,0.15511649546240905,-0.026615756172583622,0.9201016715746005,7.424716395770276e-07,5,250,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS35,1.307e-05,1.5291e-05,2.8361000000000002e-05,solved,8.632117123050005e-11,0.0,1.7898321713616383e-11,1.988705496576889e-06,1.770514761034759e-12,9.78726302463712e-08,1.8860323315900223e-11,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS35MOD,1.245e-05,1.527e-05,2.772e-05,solved,6.93985105987867e-10,0.00017349627287476554,7.3020380852994996e-09,0.000811337564912012,4.96574115365242e-09,0.0002758744960243479,3.3079569409185314e-09,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS51,1.827e-05,1.853e-05,3.68e-05,solved,6.000127132139516e-09,0.0012000254997511877,2.089465737631865e-08,0.0041789315308863855,2.7803403478299667e-08,0.0021387234224548315,2.4153267649282452e-08,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS52,1.504e-05,1.838e-05,3.342e-05,solved,7.145616255768474e-12,4.714188947881006e-06,3.233602123646081e-11,6.467981705782223e-06,6.803184170798909e-11,2.89904475411394e-05,1.0780965653543805e-10,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS53,1.509e-05,1.085e-05,2.594e-05,solved,3.5527750360094117e-07,0.2010122391617069,4.239780161608801e-06,0.8479560322349756,2.8387329139679874e-06,0.589688422726702,1.5223120687964854e-11,0,25,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
HS76,1.808e-05,1.757e-05,3.565e-05,solved,4.0779076613981343e-07,0.05023295660230113,3.160869573903304e-07,0.07902173938811874,3.0576746839733224e-07,0.037791487279791994,1.6512322531016028e-09,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
